key_id,Player Name,player_id,position_code,position_name,team_code,team_id,team_name,tournament_id,tournament_name,Sum of shirt_number
13687,Song Min-kyu,P-97485,MF,midfielder,KOR,T-71,South Korea,WC-2022,2022 FIFA Men's World Cup,26
13713, Pedri,P-24897,MF,midfielder,ESP,T-73,Spain,WC-2022,2022 FIFA Men's World Cup,26
13739,Ardon Jashari,P-17496,MF,midfielder,CHE,T-75,Switzerland,WC-2022,2022 FIFA Men's World Cup,26
13765,Mouez Hassen,P-57303,GK,goal keeper,TUN,T-79,Tunisia,WC-2022,2022 FIFA Men's World Cup,26
13791,Joe Scally,P-80838,DF,defender,USA,T-83,United States,WC-2022,2022 FIFA Men's World Cup,26
13817,JosÃ© Luis RodrÃ­guez,P-55597,DF,defender,URY,T-84,Uruguay,WC-2022,2022 FIFA Men's World Cup,26
13843,Matthew Smith,P-84269,MF,midfielder,WAL,T-85,Wales,WC-2022,2022 FIFA Men's World Cup,26
13037,Lisandro MartÃ­nez,P-23070,DF,defender,ARG,T-03,Argentina,WC-2022,2022 FIFA Men's World Cup,25
13063,Jason Cummings,P-67089,FW,forward,AUS,T-04,Australia,WC-2022,2022 FIFA Men's World Cup,25
13089,JÃ©rÃ©my Doku,P-29578,FW,forward,BEL,T-06,Belgium,WC-2022,2022 FIFA Men's World Cup,25
13115, Pedro,P-15197,FW,forward,BRA,T-09,Brazil,WC-2022,2022 FIFA Men's World Cup,25
13141,Nouhou Tolo,P-55367,DF,defender,CMR,T-11,Cameroon,WC-2022,2022 FIFA Men's World Cup,25
13167,Derek Cornelius,P-21099,DF,defender,CAN,T-12,Canada,WC-2022,2022 FIFA Men's World Cup,25
13193,Anthony HernÃ¡ndez,P-14872,MF,midfielder,CRI,T-17,Costa Rica,WC-2022,2022 FIFA Men's World Cup,25
13219,Luka SuÄiÄ‡,P-67668,MF,midfielder,HRV,T-18,Croatia,WC-2022,2022 FIFA Men's World Cup,25
13245,Jesper LindstrÃ¸m,P-70516,MF,midfielder,DNK,T-22,Denmark,WC-2022,2022 FIFA Men's World Cup,25
13271,Jackson Porozo,P-73694,DF,defender,ECU,T-25,Ecuador,WC-2022,2022 FIFA Men's World Cup,25
13297,James Maddison,P-95181,MF,midfielder,ENG,T-28,England,WC-2022,2022 FIFA Men's World Cup,25
13323,Eduardo Camavinga,P-80996,MF,midfielder,FRA,T-30,France,WC-2022,2022 FIFA Men's World Cup,25
13349,Armel Bella-Kotchap,P-69200,DF,defender,DEU,T-31,Germany,WC-2022,2022 FIFA Men's World Cup,25
13375,Antoine Semenyo,P-14179,FW,forward,GHA,T-32,Ghana,WC-2022,2022 FIFA Men's World Cup,25
13401,Abolfazl Jalali,P-62858,DF,defender,IRN,T-38,Iran,WC-2022,2022 FIFA Men's World Cup,25
13426,Daizen Maeda,P-30206,FW,forward,JPN,T-44,Japan,WC-2022,2022 FIFA Men's World Cup,25
13452,Roberto Alvarado,P-73491,FW,forward,MEX,T-46,Mexico,WC-2022,2022 FIFA Men's World Cup,25
13478,Yahia Attiyat Allah,P-91543,DF,defender,MAR,T-47,Morocco,WC-2022,2022 FIFA Men's World Cup,25
13504,Xavi Simons,P-34458,MF,midfielder,NLD,T-48,Netherlands,WC-2022,2022 FIFA Men's World Cup,25
13530,Robert Gumny,P-42168,DF,defender,POL,T-57,Poland,WC-2022,2022 FIFA Men's World Cup,25
13556, OtÃ¡vio,P-78787,MF,midfielder,PRT,T-58,Portugal,WC-2022,2022 FIFA Men's World Cup,25
13582,Jassem Gaber,P-22110,MF,midfielder,QAT,T-59,Qatar,WC-2022,2022 FIFA Men's World Cup,25
13608,Haitham Asiri,P-40487,FW,forward,SAU,T-63,Saudi Arabia,WC-2022,2022 FIFA Men's World Cup,25
13634,Mamadou Loum,P-37001,MF,midfielder,SEN,T-65,Senegal,WC-2022,2022 FIFA Men's World Cup,25
13660,Filip MladenoviÄ‡,P-82143,DF,defender,SRB,T-66,Serbia,WC-2022,2022 FIFA Men's World Cup,25
13686,Jeong Woo-yeong,P-94500,MF,midfielder,KOR,T-71,South Korea,WC-2022,2022 FIFA Men's World Cup,25
13712,Ansu Fati,P-33854,FW,forward,ESP,T-73,Spain,WC-2022,2022 FIFA Men's World Cup,25
13738,Fabian Rieder,P-25593,MF,midfielder,CHE,T-75,Switzerland,WC-2022,2022 FIFA Men's World Cup,25
13764,Anis Ben Slimane,P-45680,FW,forward,TUN,T-79,Tunisia,WC-2022,2022 FIFA Men's World Cup,25
13790,Sean Johnson,P-38940,GK,goal keeper,USA,T-83,United States,WC-2022,2022 FIFA Men's World Cup,25
13816,Manuel Ugarte,P-94091,MF,midfielder,URY,T-84,Uruguay,WC-2022,2022 FIFA Men's World Cup,25
13842,Rubin Colwill,P-07137,MF,midfielder,WAL,T-85,Wales,WC-2022,2022 FIFA Men's World Cup,25
13036,Enzo FernÃ¡ndez,P-10739,MF,midfielder,ARG,T-03,Argentina,WC-2022,2022 FIFA Men's World Cup,24
13062,Joel King,P-53409,DF,defender,AUS,T-04,Australia,WC-2022,2022 FIFA Men's World Cup,24
13088,LoÃ¯s Openda,P-70691,FW,forward,BEL,T-06,Belgium,WC-2022,2022 FIFA Men's World Cup,24
13114, Bremer,P-14060,DF,defender,BRA,T-09,Brazil,WC-2022,2022 FIFA Men's World Cup,24
13140,Enzo Ebosse,P-02759,DF,defender,CMR,T-11,Cameroon,WC-2022,2022 FIFA Men's World Cup,24
13166,David Wotherspoon,P-49915,MF,midfielder,CAN,T-12,Canada,WC-2022,2022 FIFA Men's World Cup,24
13192,Roan Wilson,P-23993,MF,midfielder,CRI,T-17,Costa Rica,WC-2022,2022 FIFA Men's World Cup,24
13218,Josip Å utalo,P-57417,DF,defender,HRV,T-18,Croatia,WC-2022,2022 FIFA Men's World Cup,24
13244,Robert Skov,P-76468,MF,midfielder,DNK,T-22,Denmark,WC-2022,2022 FIFA Men's World Cup,24
13270,Djorkaeff Reasco,P-69217,FW,forward,ECU,T-25,Ecuador,WC-2022,2022 FIFA Men's World Cup,24
13296,Callum Wilson,P-22844,FW,forward,ENG,T-28,England,WC-2022,2022 FIFA Men's World Cup,24
13322,Ibrahima KonatÃ©,P-86920,DF,defender,FRA,T-30,France,WC-2022,2022 FIFA Men's World Cup,24
13348,Karim Adeyemi,P-05901,FW,forward,DEU,T-31,Germany,WC-2022,2022 FIFA Men's World Cup,24
13374,Kamal Sowah,P-20467,MF,midfielder,GHA,T-32,Ghana,WC-2022,2022 FIFA Men's World Cup,24
13400,Hossein Hosseini,P-28492,GK,goal keeper,IRN,T-38,Iran,WC-2022,2022 FIFA Men's World Cup,24
13425,Yuki Soma,P-64056,MF,midfielder,JPN,T-44,Japan,WC-2022,2022 FIFA Men's World Cup,24
13451,Luis ChÃ¡vez,P-49806,MF,midfielder,MEX,T-46,Mexico,WC-2022,2022 FIFA Men's World Cup,24
13477,Badr Benoun,P-00597,DF,defender,MAR,T-47,Morocco,WC-2022,2022 FIFA Men's World Cup,24
13503,Kenneth Taylor,P-95763,MF,midfielder,NLD,T-48,Netherlands,WC-2022,2022 FIFA Men's World Cup,24
13529,PrzemysÅ‚aw Frankowski,P-23437,MF,midfielder,POL,T-57,Poland,WC-2022,2022 FIFA Men's World Cup,24
13555,AntÃ³nio Silva,P-05289,DF,defender,PRT,T-58,Portugal,WC-2022,2022 FIFA Men's World Cup,24
13581,Naif Al-Hadhrami,P-93316,MF,midfielder,QAT,T-59,Qatar,WC-2022,2022 FIFA Men's World Cup,24
13607,Nasser Al-Dawsari,P-10907,MF,midfielder,SAU,T-63,Saudi Arabia,WC-2022,2022 FIFA Men's World Cup,24
13633,Moustapha Name,P-92891,DF,defender,SEN,T-65,Senegal,WC-2022,2022 FIFA Men's World Cup,24
13659,Ivan IliÄ‡,P-67641,MF,midfielder,SRB,T-66,Serbia,WC-2022,2022 FIFA Men's World Cup,24
13685,Cho Yu-min,P-05917,DF,defender,KOR,T-71,South Korea,WC-2022,2022 FIFA Men's World Cup,24
13711,Aymeric Laporte,P-99025,DF,defender,ESP,T-73,Spain,WC-2022,2022 FIFA Men's World Cup,24
13737,Philipp KÃ¶hn,P-38800,GK,goal keeper,CHE,T-75,Switzerland,WC-2022,2022 FIFA Men's World Cup,24
13763,Ali Abdi,P-64924,DF,defender,TUN,T-79,Tunisia,WC-2022,2022 FIFA Men's World Cup,24
13789,Josh Sargent,P-94647,FW,forward,USA,T-83,United States,WC-2022,2022 FIFA Men's World Cup,24
13815,AgustÃ­n Canobbio,P-24667,MF,midfielder,URY,T-84,Uruguay,WC-2022,2022 FIFA Men's World Cup,24
13841,Ben Cabango,P-02030,DF,defender,WAL,T-85,Wales,WC-2022,2022 FIFA Men's World Cup,24
2198,Guillermo Escalada,P-82133,FW,forward,URY,T-84,Uruguay,WC-1962,1962 FIFA Men's World Cup,23
6808,Simon Gopane,P-83595,GK,goal keeper,ZAF,T-70,South Africa,WC-1998,1998 FIFA Men's World Cup,23
7261,Roberto Bonano,P-12056,GK,goal keeper,ARG,T-03,Argentina,WC-2002,2002 FIFA Men's World Cup,23
7284,FrÃ©dÃ©ric Herpoel,P-44716,GK,goal keeper,BEL,T-06,Belgium,WC-2002,2002 FIFA Men's World Cup,23
7307, KakÃ¡,P-58388,MF,midfielder,BRA,T-09,Brazil,WC-2002,2002 FIFA Men's World Cup,23
7330,Daniel Kome,P-18536,MF,midfielder,CMR,T-11,Cameroon,WC-2002,2002 FIFA Men's World Cup,23
7353,Chuliang Ou,P-92129,GK,goal keeper,CHN,T-14,China,WC-2002,2002 FIFA Men's World Cup,23
7376,Lester Morgan,P-74506,GK,goal keeper,CRI,T-17,Costa Rica,WC-2002,2002 FIFA Men's World Cup,23
7399,Vladimir Vasilj,P-94668,GK,goal keeper,HRV,T-18,Croatia,WC-2002,2002 FIFA Men's World Cup,23
7422,Brian Steen Nielsen,P-04393,MF,midfielder,DNK,T-22,Denmark,WC-2002,2002 FIFA Men's World Cup,23
7445,Walter AyovÃ­,P-39602,DF,defender,ECU,T-25,Ecuador,WC-2002,2002 FIFA Men's World Cup,23
7468,Kieron Dyer,P-34406,MF,midfielder,ENG,T-28,England,WC-2002,2002 FIFA Men's World Cup,23
7491,GrÃ©gory Coupet,P-57021,GK,goal keeper,FRA,T-30,France,WC-2002,2002 FIFA Men's World Cup,23
7514,Hans-JÃ¶rg Butt,P-05630,GK,goal keeper,DEU,T-31,Germany,WC-2002,2002 FIFA Men's World Cup,23
7537,Marco Materazzi,P-37126,DF,defender,ITA,T-41,Italy,WC-2002,2002 FIFA Men's World Cup,23
7560,Hitoshi Sogahata,P-94511,GK,goal keeper,JPN,T-44,Japan,WC-2002,2002 FIFA Men's World Cup,23
7583,Jorge Campos,P-50787,GK,goal keeper,MEX,T-46,Mexico,WC-2002,2002 FIFA Men's World Cup,23
7606,Femi Opabunmi,P-52099,MF,midfielder,NGA,T-50,Nigeria,WC-2002,2002 FIFA Men's World Cup,23
7629,Nelson Cuevas,P-88899,FW,forward,PRY,T-55,Paraguay,WC-2002,2002 FIFA Men's World Cup,23
7652,PaweÅ‚ Sibik,P-09579,MF,midfielder,POL,T-57,Poland,WC-2002,2002 FIFA Men's World Cup,23
7675,Rui Jorge,P-61068,DF,defender,PRT,T-58,Portugal,WC-2002,2002 FIFA Men's World Cup,23
7698,Alan Kelly,P-33377,GK,goal keeper,IRL,T-60,Republic of Ireland,WC-2002,2002 FIFA Men's World Cup,23
7721,Aleksandr Filimonov,P-76203,GK,goal keeper,RUS,T-62,Russia,WC-2002,2002 FIFA Men's World Cup,23
7744,Mansour Al-Thagafi,P-12568,DF,defender,SAU,T-63,Saudi Arabia,WC-2002,2002 FIFA Men's World Cup,23
7767,Makhtar N'Diaye,P-64668,MF,midfielder,SEN,T-65,Senegal,WC-2002,2002 FIFA Men's World Cup,23
7790,Spasoje BulajiÄ,P-54102,DF,defender,SVN,T-69,Slovenia,WC-2002,2002 FIFA Men's World Cup,23
7813,George Koumantarakis,P-73319,FW,forward,ZAF,T-70,South Africa,WC-2002,2002 FIFA Men's World Cup,23
7836,Eun-sung Choi,P-42690,GK,goal keeper,KOR,T-71,South Korea,WC-2002,2002 FIFA Men's World Cup,23
7859,Pedro Contreras,P-95116,GK,goal keeper,ESP,T-73,Spain,WC-2002,2002 FIFA Men's World Cup,23
7882,Andreas Isaksson,P-47401,GK,goal keeper,SWE,T-74,Sweden,WC-2002,2002 FIFA Men's World Cup,23
7905,JosÃ© Clayton,P-44011,DF,defender,TUN,T-79,Tunisia,WC-2002,2002 FIFA Men's World Cup,23
7928,Zafer Ã–zgÃ¼ltekin,P-05081,GK,goal keeper,TUR,T-80,Turkey,WC-2002,2002 FIFA Men's World Cup,23
7951,Eddie Pope,P-02842,DF,defender,USA,T-83,United States,WC-2002,2002 FIFA Men's World Cup,23
7974,Federico Elduayen,P-54429,GK,goal keeper,URY,T-84,Uruguay,WC-2002,2002 FIFA Men's World Cup,23
8316,Marco Abreu,P-91786,DF,defender,AGO,T-02,Angola,WC-2006,2006 FIFA Men's World Cup,23
8339,Ã“scar Ustari,P-66580,GK,goal keeper,ARG,T-03,Argentina,WC-2006,2006 FIFA Men's World Cup,23
8362,Mark Bresciano,P-84486,MF,midfielder,AUS,T-04,Australia,WC-2006,2006 FIFA Men's World Cup,23
8385, Robinho,P-13354,FW,forward,BRA,T-09,Brazil,WC-2006,2006 FIFA Men's World Cup,23
8408,Wardy Alfaro,P-82853,GK,goal keeper,CRI,T-17,Costa Rica,WC-2006,2006 FIFA Men's World Cup,23
8431,Tomislav Butina,P-99830,GK,goal keeper,HRV,T-18,Croatia,WC-2006,2006 FIFA Men's World Cup,23
8454,AntonÃ­n KinskÃ½,P-07338,GK,goal keeper,CZE,T-20,Czech Republic,WC-2006,2006 FIFA Men's World Cup,23
8477,Christian BenÃ­tez,P-63618,FW,forward,ECU,T-25,Ecuador,WC-2006,2006 FIFA Men's World Cup,23
8500,Theo Walcott,P-24015,FW,forward,ENG,T-28,England,WC-2006,2006 FIFA Men's World Cup,23
8523,GrÃ©gory Coupet,P-57021,GK,goal keeper,FRA,T-30,France,WC-2006,2006 FIFA Men's World Cup,23
8546,Timo Hildebrand,P-30693,GK,goal keeper,DEU,T-31,Germany,WC-2006,2006 FIFA Men's World Cup,23
8569,Haminu Draman,P-51458,MF,midfielder,GHA,T-32,Ghana,WC-2006,2006 FIFA Men's World Cup,23
8592,Masoud Shojaei,P-00111,MF,midfielder,IRN,T-38,Iran,WC-2006,2006 FIFA Men's World Cup,23
8615,Marco Materazzi,P-37126,DF,defender,ITA,T-41,Italy,WC-2006,2006 FIFA Men's World Cup,23
8638,Boubacar Barry,P-30753,GK,goal keeper,CIV,T-42,Ivory Coast,WC-2006,2006 FIFA Men's World Cup,23
8661,Yoshikatsu Kawaguchi,P-54298,GK,goal keeper,JPN,T-44,Japan,WC-2006,2006 FIFA Men's World Cup,23
8684,Luis Ernesto PÃ©rez,P-17445,MF,midfielder,MEX,T-46,Mexico,WC-2006,2006 FIFA Men's World Cup,23
8707,Maarten Stekelenburg,P-36850,GK,goal keeper,NLD,T-48,Netherlands,WC-2006,2006 FIFA Men's World Cup,23
8730,Nelson Cuevas,P-88899,FW,forward,PRY,T-55,Paraguay,WC-2006,2006 FIFA Men's World Cup,23
8753,PaweÅ‚ BroÅ¼ek,P-67164,FW,forward,POL,T-57,Poland,WC-2006,2006 FIFA Men's World Cup,23
8776,HÃ©lder Postiga,P-83900,FW,forward,PRT,T-58,Portugal,WC-2006,2006 FIFA Men's World Cup,23
8799,Malek Mouath,P-69611,FW,forward,SAU,T-63,Saudi Arabia,WC-2006,2006 FIFA Men's World Cup,23
8822,Vladimir StojkoviÄ‡,P-46403,GK,goal keeper,SCG,T-67,Serbia and Montenegro,WC-2006,2006 FIFA Men's World Cup,23
8845,Won-hee Cho,P-55485,DF,defender,KOR,T-71,South Korea,WC-2006,2006 FIFA Men's World Cup,23
8868,Pepe Reina,P-44334,GK,goal keeper,ESP,T-73,Spain,WC-2006,2006 FIFA Men's World Cup,23
8891,Rami Shaaban,P-95996,GK,goal keeper,SWE,T-74,Sweden,WC-2006,2006 FIFA Men's World Cup,23
8914,Philipp Degen,P-10789,DF,defender,CHE,T-75,Switzerland,WC-2006,2006 FIFA Men's World Cup,23
8937,Assimiou TourÃ©,P-98500,DF,defender,TGO,T-77,Togo,WC-2006,2006 FIFA Men's World Cup,23
8960,Anthony Wolfe,P-26454,MF,midfielder,TTO,T-78,Trinidad and Tobago,WC-2006,2006 FIFA Men's World Cup,23
8983,Sofiane Melliti,P-91602,MF,midfielder,TUN,T-79,Tunisia,WC-2006,2006 FIFA Men's World Cup,23
9006,Bohdan Shust,P-96162,GK,goal keeper,UKR,T-81,Ukraine,WC-2006,2006 FIFA Men's World Cup,23
9029,Eddie Pope,P-02842,DF,defender,USA,T-83,United States,WC-2006,2006 FIFA Men's World Cup,23
9387,RaÃ¯s M'Bolhi,P-00596,GK,goal keeper,DZA,T-01,Algeria,WC-2010,2010 FIFA Men's World Cup,23
9410,Javier Pastore,P-91484,MF,midfielder,ARG,T-03,Argentina,WC-2010,2010 FIFA Men's World Cup,23
9433,Mark Bresciano,P-84486,MF,midfielder,AUS,T-04,Australia,WC-2010,2010 FIFA Men's World Cup,23
9456, Grafite,P-82456,FW,forward,BRA,T-09,Brazil,WC-2010,2010 FIFA Men's World Cup,23
9479,Vincent Aboubakar,P-53452,FW,forward,CMR,T-11,Cameroon,WC-2010,2010 FIFA Men's World Cup,23
9502,Luis MarÃ­n,P-11751,GK,goal keeper,CHL,T-13,Chile,WC-2010,2010 FIFA Men's World Cup,23
9525,Patrick Mtiliga,P-23395,DF,defender,DNK,T-22,Denmark,WC-2010,2010 FIFA Men's World Cup,23
9548,Joe Hart,P-64443,GK,goal keeper,ENG,T-28,England,WC-2010,2010 FIFA Men's World Cup,23
9571,CÃ©dric Carrasso,P-38004,GK,goal keeper,FRA,T-30,France,WC-2010,2010 FIFA Men's World Cup,23
9594,Mario GÃ³mez,P-78594,FW,forward,DEU,T-31,Germany,WC-2010,2010 FIFA Men's World Cup,23
9617,Kevin-Prince Boateng,P-66316,MF,midfielder,GHA,T-32,Ghana,WC-2010,2010 FIFA Men's World Cup,23
9640,Sakis Prittas,P-84614,MF,midfielder,GRC,T-33,Greece,WC-2010,2010 FIFA Men's World Cup,23
9663,Sergio Mendoza,P-07624,DF,defender,HND,T-35,Honduras,WC-2010,2010 FIFA Men's World Cup,23
9686,Leonardo Bonucci,P-57248,DF,defender,ITA,T-41,Italy,WC-2010,2010 FIFA Men's World Cup,23
9709,Daniel Yeboah,P-64945,GK,goal keeper,CIV,T-42,Ivory Coast,WC-2010,2010 FIFA Men's World Cup,23
9732,Yoshikatsu Kawaguchi,P-54298,GK,goal keeper,JPN,T-44,Japan,WC-2010,2010 FIFA Men's World Cup,23
9755,Luis Ernesto Michel,P-21945,GK,goal keeper,MEX,T-46,Mexico,WC-2010,2010 FIFA Men's World Cup,23
9778,Rafael van der Vaart,P-68125,MF,midfielder,NLD,T-48,Netherlands,WC-2010,2010 FIFA Men's World Cup,23
9801,James Bannatyne,P-48947,GK,goal keeper,NZL,T-49,New Zealand,WC-2010,2010 FIFA Men's World Cup,23
9824,Dele Aiyenugba,P-73175,GK,goal keeper,NGA,T-50,Nigeria,WC-2010,2010 FIFA Men's World Cup,23
9847,Il-gwan Jong,P-79551,MF,midfielder,PRK,T-51,North Korea,WC-2010,2010 FIFA Men's World Cup,23
9870,Rodolfo Gamarra,P-21518,FW,forward,PRY,T-55,Paraguay,WC-2010,2010 FIFA Men's World Cup,23
9893,FÃ¡bio CoentrÃ£o,P-92000,DF,defender,PRT,T-58,Portugal,WC-2010,2010 FIFA Men's World Cup,23
9916,AnÄ‘elko ÄuriÄiÄ‡,P-28333,GK,goal keeper,SRB,T-66,Serbia,WC-2010,2010 FIFA Men's World Cup,23
9939,DuÅ¡an Kuciak,P-55017,GK,goal keeper,SVK,T-68,Slovakia,WC-2010,2010 FIFA Men's World Cup,23
9962,Tim MatavÅ¾,P-75538,FW,forward,SVN,T-69,Slovenia,WC-2010,2010 FIFA Men's World Cup,23
9985,Thanduyise Khuboni,P-39008,MF,midfielder,ZAF,T-70,South Africa,WC-2010,2010 FIFA Men's World Cup,23
10008,Min-soo Kang,P-15739,DF,defender,KOR,T-71,South Korea,WC-2010,2010 FIFA Men's World Cup,23
10031,Pepe Reina,P-44334,GK,goal keeper,ESP,T-73,Spain,WC-2010,2010 FIFA Men's World Cup,23
10054,Xherdan Shaqiri,P-39460,MF,midfielder,CHE,T-75,Switzerland,WC-2010,2010 FIFA Men's World Cup,23
10077,Marcus Hahnemann,P-92673,GK,goal keeper,USA,T-83,United States,WC-2010,2010 FIFA Men's World Cup,23
10100,MartÃ­n Silva,P-59802,GK,goal keeper,URY,T-84,Uruguay,WC-2010,2010 FIFA Men's World Cup,23
10459,RaÃ¯s M'Bolhi,P-00596,GK,goal keeper,DZA,T-01,Algeria,WC-2014,2014 FIFA Men's World Cup,23
10482,JosÃ© MarÃ­a Basanta,P-38424,DF,defender,ARG,T-03,Argentina,WC-2014,2014 FIFA Men's World Cup,23
10505,Mark Bresciano,P-84486,MF,midfielder,AUS,T-04,Australia,WC-2014,2014 FIFA Men's World Cup,23
10528,Laurent Ciman,P-33520,DF,defender,BEL,T-06,Belgium,WC-2014,2014 FIFA Men's World Cup,23
10551,Sejad SalihoviÄ‡,P-94434,MF,midfielder,BIH,T-08,Bosnia and Herzegovina,WC-2014,2014 FIFA Men's World Cup,23
10574, Maicon,P-94551,DF,defender,BRA,T-09,Brazil,WC-2014,2014 FIFA Men's World Cup,23
10597,Sammy Ndjock,P-44581,GK,goal keeper,CMR,T-11,Cameroon,WC-2014,2014 FIFA Men's World Cup,23
10620,Johnny Herrera,P-47836,GK,goal keeper,CHL,T-13,Chile,WC-2014,2014 FIFA Men's World Cup,23
10643,Carlos ValdÃ©s,P-77916,DF,defender,COL,T-16,Colombia,WC-2014,2014 FIFA Men's World Cup,23
10666,Daniel Cambronero,P-51981,GK,goal keeper,CRI,T-17,Costa Rica,WC-2014,2014 FIFA Men's World Cup,23
10689,Danijel SubaÅ¡iÄ‡,P-25428,GK,goal keeper,HRV,T-18,Croatia,WC-2014,2014 FIFA Men's World Cup,23
10712,Carlos Gruezo,P-13321,MF,midfielder,ECU,T-25,Ecuador,WC-2014,2014 FIFA Men's World Cup,23
10735,Luke Shaw,P-36400,DF,defender,ENG,T-28,England,WC-2014,2014 FIFA Men's World Cup,23
10758,MickaÃ«l Landreau,P-30652,GK,goal keeper,FRA,T-30,France,WC-2014,2014 FIFA Men's World Cup,23
10781,Christoph Kramer,P-42177,MF,midfielder,DEU,T-31,Germany,WC-2014,2014 FIFA Men's World Cup,23
10804,Harrison Afful,P-05368,DF,defender,GHA,T-32,Ghana,WC-2014,2014 FIFA Men's World Cup,23
10827,Panagiotis Tachtsidis,P-89305,MF,midfielder,GRC,T-33,Greece,WC-2014,2014 FIFA Men's World Cup,23
10850,Marvin ChÃ¡vez,P-36601,MF,midfielder,HND,T-35,Honduras,WC-2014,2014 FIFA Men's World Cup,23
10873,Mehrdad Pooladi,P-94249,DF,defender,IRN,T-38,Iran,WC-2014,2014 FIFA Men's World Cup,23
10896,Marco Verratti,P-43029,MF,midfielder,ITA,T-41,Italy,WC-2014,2014 FIFA Men's World Cup,23
10919,Sayouba MandÃ©,P-89713,GK,goal keeper,CIV,T-42,Ivory Coast,WC-2014,2014 FIFA Men's World Cup,23
10942,ShÅ«ichi Gonda,P-66906,GK,goal keeper,JPN,T-44,Japan,WC-2014,2014 FIFA Men's World Cup,23
10965,JosÃ© Juan VÃ¡zquez,P-22756,MF,midfielder,MEX,T-46,Mexico,WC-2014,2014 FIFA Men's World Cup,23
10988,Tim Krul,P-42745,GK,goal keeper,NLD,T-48,Netherlands,WC-2014,2014 FIFA Men's World Cup,23
11011,Shola Ameobi,P-03886,FW,forward,NGA,T-50,Nigeria,WC-2014,2014 FIFA Men's World Cup,23
11034,HÃ©lder Postiga,P-83900,FW,forward,PRT,T-58,Portugal,WC-2014,2014 FIFA Men's World Cup,23
11057,Dmitri Kombarov,P-63644,DF,defender,RUS,T-62,Russia,WC-2014,2014 FIFA Men's World Cup,23
11080,Bum-young Lee,P-18963,GK,goal keeper,KOR,T-71,South Korea,WC-2014,2014 FIFA Men's World Cup,23
11103,Pepe Reina,P-44334,GK,goal keeper,ESP,T-73,Spain,WC-2014,2014 FIFA Men's World Cup,23
11126,Xherdan Shaqiri,P-39460,MF,midfielder,CHE,T-75,Switzerland,WC-2014,2014 FIFA Men's World Cup,23
